"","album_release_date","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","disc_number","duration_ms","explicit","is_local","track_name","track_number","type","album_name","key_name","mode_name","key_mode"
"1","2021-05-21",2021,0.684,0.677,7,-7.355,1,0.0401,0.11,0.00975,0.34,0.37,142.048,4,1,204400,FALSE,FALSE,"Good Day",1,"track","Scaled And Icy","G","major","G major"
"2","2021-05-21",2021,0.7,0.664,7,-8.211,1,0.0394,0.306,1.89e-05,0.249,0.585,142.009,4,1,223065,FALSE,FALSE,"Choker",2,"track","Scaled And Icy","G","major","G major"
"3","2021-05-21",2021,0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,96.966,4,1,175044,FALSE,FALSE,"Shy Away",3,"track","Scaled And Icy","A","minor","A minor"
"4","2021-05-21",2021,0.785,0.623,11,-6.923,1,0.0403,0.0505,0.125,0.0539,0.711,100.991,4,1,216758,FALSE,FALSE,"The Outside",4,"track","Scaled And Icy","B","major","B major"
"5","2021-05-21",2021,0.687,0.89,8,-5.99,1,0.0344,0.00396,0.000939,0.0436,0.854,113.06,4,1,172232,FALSE,FALSE,"Saturday",5,"track","Scaled And Icy","G#","major","G# major"
"6","2021-05-21",2021,0.747,0.733,9,-5.724,1,0.0278,0.00997,0.0043,0.0703,0.775,117.973,4,1,212706,FALSE,FALSE,"Never Take It",6,"track","Scaled And Icy","A","major","A major"
"7","2021-05-21",2021,0.674,0.535,2,-7.114,1,0.0518,0.0138,0,0.326,0.716,170.188,4,1,224398,FALSE,FALSE,"Mulberry Street",7,"track","Scaled And Icy","D","major","D major"
"8","2021-05-21",2021,0.653,0.559,6,-6.758,0,0.0276,0.00983,0.000473,0.062,0.731,137.006,4,1,176324,FALSE,FALSE,"Formidable",8,"track","Scaled And Icy","F#","minor","F# minor"
"9","2021-05-21",2021,0.704,0.696,4,-6.48,0,0.0568,0.269,0.00029,0.326,0.577,141.955,4,1,185438,FALSE,FALSE,"Bounce Man",9,"track","Scaled And Icy","E","minor","E minor"
"10","2021-05-21",2021,0.667,0.54,7,-7.301,1,0.0629,0.15,0.0184,0.218,0.0882,139.984,4,1,226449,FALSE,FALSE,"No Chances",10,"track","Scaled And Icy","G","major","G major"
"11","2021-05-21",2021,0.632,0.65,8,-6.851,0,0.0797,0.158,2.39e-05,0.0724,0.397,82.58,4,1,245842,FALSE,FALSE,"Redecorate",11,"track","Scaled And Icy","G#","minor","G# minor"
"12","2018-10-05",2018,0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,4,1,238560,FALSE,FALSE,"Jumpsuit",1,"track","Trench","B","minor","B minor"
"13","2018-10-05",2018,0.7,0.934,6,-5.941,0,0.17,0.0857,0.226,0.114,0.224,92.973,4,1,145946,FALSE,FALSE,"Levitate",2,"track","Trench","F#","minor","F# minor"
"14","2018-10-05",2018,0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,4,1,258853,FALSE,FALSE,"Morph",3,"track","Trench","G#","minor","G# minor"
"15","2018-10-05",2018,0.749,0.723,1,-6.609,1,0.0432,0.0563,0.022,0.0977,0.674,108.999,4,1,229120,FALSE,FALSE,"My Blood",4,"track","Trench","C#","major","C# major"
"16","2018-10-05",2018,0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,4,1,324466,FALSE,FALSE,"Chlorine",5,"track","Trench","A#","minor","A# minor"
"17","2018-10-05",2018,0.764,0.548,6,-7.627,1,0.14,0.296,1.01e-05,0.0769,0.519,151.02,4,1,177040,FALSE,FALSE,"Smithereens",6,"track","Trench","F#","major","F# major"
"18","2018-10-05",2018,0.73,0.427,11,-9.834,0,0.138,0.379,0.000309,0.0893,0.392,149.45,3,1,240266,FALSE,FALSE,"Neon Gravestones",7,"track","Trench","B","minor","B minor"
"19","2018-10-05",2018,0.53,0.816,9,-6.149,1,0.0503,0.0105,0.00061,0.379,0.371,87.019,4,1,265373,FALSE,FALSE,"The Hype",8,"track","Trench","A","major","A major"
"20","2018-10-05",2018,0.728,0.602,9,-7.748,0,0.185,0.0699,7.01e-06,0.318,0.328,140.081,4,1,225040,FALSE,FALSE,"Nico and the Niners",9,"track","Trench","A","minor","A minor"
"21","2018-10-05",2018,0.641,0.561,4,-5.856,1,0.0355,0.12,0.0021,0.358,0.678,111.938,4,1,282613,FALSE,FALSE,"Cut My Lip",10,"track","Trench","E","major","E major"
"22","2018-10-05",2018,0.661,0.52,11,-8.367,0,0.028,0.256,0.0246,0.105,0.427,127.089,4,1,330986,FALSE,FALSE,"Bandito",11,"track","Trench","B","minor","B minor"
"23","2018-10-05",2018,0.653,0.684,7,-7.052,0,0.199,0.0615,0.000387,0.27,0.355,110.049,4,1,198360,FALSE,FALSE,"Pet Cheetah",12,"track","Trench","G","minor","G minor"
"24","2018-10-05",2018,0.716,0.575,0,-6.209,1,0.0368,0.0948,0.000257,0.0829,0.797,85.937,4,1,172560,FALSE,FALSE,"Legend",13,"track","Trench","C","major","C major"
"25","2018-10-05",2018,0.506,0.379,4,-11.64,0,0.0334,0.726,0.00458,0.0956,0.299,134.985,4,1,280493,FALSE,FALSE,"Leave the City",14,"track","Trench","E","minor","E minor"
"26","2015-05-15",2015,0.613,0.873,7,-6.376,0,0.0449,0.00397,0.00111,0.367,0.392,129.989,4,1,234813,FALSE,FALSE,"Heavydirtysoul",1,"track","Blurryface","G","minor","G minor"
"27","2015-05-15",2015,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,1,202333,FALSE,FALSE,"Stressed Out",2,"track","Blurryface","E","minor","E minor"
"28","2015-05-15",2015,0.645,0.713,6,-5.355,1,0.0393,0.00835,0,0.113,0.566,74.989,4,1,214506,FALSE,FALSE,"Ride",3,"track","Blurryface","F#","major","F# major"
"29","2015-05-15",2015,0.715,0.723,6,-5.993,0,0.0569,0.0396,8.57e-05,0.084,0.479,114.985,4,1,207160,FALSE,FALSE,"Fairly Local",4,"track","Blurryface","F#","minor","F# minor"
"30","2015-05-15",2015,0.655,0.632,2,-4.802,1,0.0489,0.0189,0,0.0722,0.447,120.113,4,1,188493,FALSE,FALSE,"Tear in My Heart",5,"track","Blurryface","D","major","D major"
"31","2015-05-15",2015,0.616,0.811,7,-4.804,1,0.0626,0.0573,1.57e-05,0.0566,0.913,159.929,4,1,253093,FALSE,FALSE,"Lane Boy",6,"track","Blurryface","G","major","G major"
"32","2015-05-15",2015,0.423,0.797,0,-4.659,1,0.124,0.177,0,0.137,0.592,82.617,4,1,297760,FALSE,FALSE,"The Judge",7,"track","Blurryface","C","major","C major"
"33","2015-05-15",2015,0.719,0.645,2,-6.141,0,0.0358,0.121,0.00316,0.362,0.69,123.02,4,1,191493,FALSE,FALSE,"Doubt",8,"track","Blurryface","D","minor","D minor"
"34","2015-05-15",2015,0.597,0.666,6,-6.365,0,0.0418,0.122,0.00302,0.1,0.626,164.992,4,1,226786,FALSE,FALSE,"Polarize",9,"track","Blurryface","F#","minor","F# minor"
"35","2015-05-15",2015,0.547,0.936,9,-4.023,1,0.102,0.23,3.04e-06,0.172,0.642,120.003,4,1,177200,FALSE,FALSE,"We Don't Believe What's on TV",10,"track","Blurryface","A","major","A major"
"36","2015-05-15",2015,0.715,0.838,2,-6.077,0,0.118,0.0897,0,0.15,0.497,120.007,4,1,240080,FALSE,FALSE,"Message Man",11,"track","Blurryface","D","minor","D minor"
